keyword,date,page,position,title,author,publisher,pages,publication_date,sales_rank,image,asin,,,,,,,
drug history,00:22.0,5,41,The Hacking of the American Mind: The Science Behind the Corporate Takeover of Our Bodies and Brains,Robert H. Lustig,Avery,352,00:00.0,42344,https://images-na.ssl-images-amazon.com/images/I/51M9AEzfG0L._SL75_.jpg,B01N802BNX,,,,,,,
drug history,00:22.0,5,45,Fruit of the Drunken Tree: A Novel,Ingrid Rojas Contreras,Doubleday,302,00:00.0,21649,https://images-na.ssl-images-amazon.com/images/I/51Bm6AhGAsL._SL75_.jpg,B0776DJ5Y2,,,,,,,
drug history,00:22.0,5,49,A Brief History of Seven Killings: A Novel,Marlon James,Riverhead Books,688,00:00.0,30112,https://images-na.ssl-images-amazon.com/images/I/51DpdJWYf0L._SL75_.jpg,B00INIXV84,,,,,,,
drug history,00:23.1,6,53,Public Secrets: A Novel,Nora Roberts,Bantam,512,00:00.0,29677,https://images-na.ssl-images-amazon.com/images/I/515a%2B-ChYEL._SL75_.jpg,B002RLBKIQ,,,,,,,
drug history,00:23.1,6,57,Sunset Limited (Dave Robicheaux Book 10),James Lee Burke,Island Books,418,00:00.0,42374,https://images-na.ssl-images-amazon.com/images/I/519m3JmncdL._SL75_.jpg,B005JWUGY4,,,,,,,
drug history,00:24.2,7,61,"Runnin' with the Devil: A Backstage Pass to the Wild Times, Loud Rock, and the Down and Dirty Truth Behind the Making of Van Halen",Noel Monk,Dey Street Books,371,00:00.0,44889,https://images-na.ssl-images-amazon.com/images/I/61a7hmzdp2L._SL75_.jpg,B01HM27IEO,,,,,,,
drug history,00:24.2,7,65,"Anatomy of an Epidemic: Magic Bullets, Psychiatric Drugs, and the Astonishing Rise of Mental Illness in America",Robert Whitaker,Broadway Books,418,00:00.0,46576,https://images-na.ssl-images-amazon.com/images/I/51keHE0uC8L._SL75_.jpg,B0036S4EGE,,,,,,,
drug history,00:24.2,7,69,The Doors of Perception and Heaven and Hell,Aldous Huxley,HarperCollins e-books,208,00:00.0,52056,https://images-na.ssl-images-amazon.com/images/I/61EfYoVYx4L._SL75_.jpg,B002PEP4QY,,,,,,,
drug history,00:25.4,8,73,Malice at the Palace (The Royal Spyness Series Book 9),Rhys Bowen,Berkley,304,00:00.0,19951,https://images-na.ssl-images-amazon.com/images/I/51ootBE%2BMjL._SL75_.jpg,B00OQSF61K,,,,,,,
drug history,00:25.4,8,77,Ghost: My Thirty Years as an FBI Undercover Agent,Michael R. McGowan,St. Martin's Press,298,00:00.0,28705,https://images-na.ssl-images-amazon.com/images/I/51-C8oEqiiL._SL75_.jpg,B07BFBZ1WC,,,,,,,
